name	lsid	uses	sources	family	page
Leymus cinereus (Scribn. & Merr.) Á.Löve	139352-2	AF EU GS HF ME	CWR		109
Leymus condensatus (J.Presl) Á.Löve	139353-2	AF GS ME	CWR		109
Leymus divaricatus (Drobow) Tzvelev	407316-1	AF GS	CWR		109
B.R.Baum	77098749-1	GS			109
Leymus erianthus (Phil.) Dubc.	997298-1	GS	CWR		109
Leymus flavescens (Scribn. & J.G.Sm.) Pilg.	139354-2	GS	CWR		109
Leymus flexilis (Nevski) Tzvelev	407320-1	GS	CWR		109
Leymus flexus L.B.Cai	987577-1	GS	CWR		109
Leymus innovatus (Beal) Pilg.	139355-2	GS	CWR		109
Leymus karelinii (Turcz.) Tzvelev	407326-1	AF GS	CWR		109
Leymus mollis (Trin.) Pilg.	139357-2	EU GS MA ME	CWR		109
Leymus multicaulis (Kar. & Kir.) Tzvelev	407336-1	AF GS	CWR		109
Leymus obvipodus L.B.Cai	1014015-1	GS	CWR		109
Leymus ordensis Peschkova	906514-1	GS	CWR		109
Leymus paboanus (Claus) Pilg.	407340-1	GS	CWR		109
Leymus pacificus (Gould) D.R.Dewey	139361-2	GS	CWR		109
Leymus pendulus L.B.Cai	1014014-1	GS	CWR		109
Leymus pishanicus S.L.Lu & Y.H.Wu	968406-1	GS	CWR		109
Leymus pseudoracemosus C.Yen & J.L.Yang	902448-1	GS	CWR		109
Leymus pubinodis (Keng) Á.Löve	914150-1	GS	CWR		109
Leymus racemosus (Lam.) Tzvelev	407344-1	AF EU GS HF	CWR		109
Leymus ramosus (K.Richt.) Tzvelev	407346-1	AF GS	CWR		109
Leymus ruoqiangensis S.L.Lu & Y.H.Wu	968405-1	GS	CWR		109
Leymus salina (M.E.Jones) Á.Löve	139362-2	AF GS	CWR		109
Leymus secalinus (Georgi) Tzvelev	407350-1	AF EU GS HF	CWR		109
Leymus shanxiensis G.H.Zhu & S.L.Chen	77076108-1	GS	CWR		109
Leymus sibiricus (Trautv.) J.L.Yang & C.Yen	77098745-1	GS			109
Leymus tianschanicus (Drobow) Tzvelev	407351-1	AF GS	CWR		109
Leymus triticoides (Buckley) Pilg.	139367-2	AF EU GS	CWR		109
Leymus villosissimus (Scribn.) Tzvelev	139372-2	GS	CWR		109
Leymus yiunensis N.R.Cui & D.F.Cui	1009269-1	GS	CWR		109
Lolium arundinaceum (Schreb.) Darbysh.	973267-1	AF EU PO			109
Lolium giganteum (L.) Darbysh.	973268-1	AF			109
Lolium multiflorum Lam.	407486-1	AF EU HF ME PO	[1, 3, 4, 5, 7, 8, 9]		109
Lolium perenne L.	407493-1	AF EU GS HF ME PO	[1, 3, 4, 7, 8]		109
Lolium persicum Boiss. & Hohen.	407495-1	AF	[9]		109
Lolium rigidum Gaudin	407503-1	PO	[3]		109
Lolium temulentum L.	407516-1	AF GS HF ME PO	[1, 3, 4, 7, 8]		109
Lophatherum gracile Brongn.	407535-1	AF EU HF ME SU	[1, 3, 4, 5, 7]		109
Loudetia annua (Stapf) C.E.Hubb.	407582-1	AF	[8, 11]		109
Steud.	407584-1	AF MA	[8, 11]		110
Loudetia flavida (Stapf) C.E.Hubb.	407605-1	AF	[8]		110
Loudetia hordeiformis (Stapf) C.E.Hubb.	407611-1	AF EU	[8]		110
Loudetia kagerensis (K.Schum.) C.E.Hubb.	407613-1	MA	[8, 11]		110
Loudetia phragmitoides (Peter) C.E.Hubb.	407622-1	AF EU MA	[8, 11]		110
Loudetia simplex (Nees) C.E.Hubb.	407627-1	AF MA ME	[4, 8, 11]		110
Loudetia togoensis (Pilg.) C.E.Hubb.	407635-1	AF MA ME	[4, 8, 9, 10, 11]		110
Louisiella elephantipes (Nees ex Trin.) Zuloaga	77147487-1	GS			110
Lygeum spartum Loefl. ex L.	407723-1	MA	[3]		110
Maclurochloa montana (Ridl.) K.M.Wong	973129-1	MA			110
Macrochloa tenacissima (L.) Kunth	407732-1	AF MA ME	[4]		110
Melica bulbosa Porter & J.M.Coult.	280690-2	AF	[3]		110
Melica ciliata L.	407959-1	EU ME	[3, 4]		110
Melica dendroides Lehm.	407977-1	PO	[3]		110
Melica imperfecta Trin.	408025-1	AF ME	[3, 4]		110
Melica porteri Scribn.	156613-2	AF	[3]		110
Melica subulata (Griseb.) Scribn.	408166-1	AF	[3]		110
Melinis amethystea (Franch.) Zizka	2945822-1	ME	[4]		110
Melinis macrochaeta Stapf & C.E.Hubb.	408228-1	AF	[8]		110
Melinis minutiflora P.Beauv.	408232-1	AF EU MA ME	[3, 4, 5, 8]		110
Melinis nerviglumis (Franch.) Zizka	2945821-1	ME	[4]		110
Melinis repens (Willd.) Zizka	2945817-1	AF EU MA ME	[3, 4, 8, 11]		110
Melocalamus compactiflorus (Kurz) Benth.	60464047-2	MA ME	[1, 4]		110
Melocanna baccifera (Roxb.) Kurz	408271-1	HF MA ME	[1, 3, 4]		110
Merostachys pluriflora Munro ex E.G.Camus	408353-1	MA	[1]		110
Merxmuellera drakensbergensis (Schweick.) Conert	408372-1	ME	[4]		110
Microchloa indica (L.f.) P.Beauv.	408465-1	AF	[7, 8, 11]		110
Microlaena stipoides (Labill.) R.Br.	408485-1	AF EU	[7]		110
Microstegium brandisii (Hook.f.) D.Rhind	408499-1	AF			110
Microstegium dispar (Nees ex Steud.) A.Camus	408509-1	AF			110
Microstegium fasciculatum (L.) Henrard	160567-2	AF			110
Microstegium nudum (Trin.) A.Camus	86272-3	AF			110
Microstegium spectabile (Trin.) A.Camus	408539-1	AF			110
Milium effusum L.	408599-1	EU	[3]		110
Miscanthus × longiberbis (Hack.) Nakai	408749-1	GS			110
Miscanthus ecklonii (Nees) Mabb.	914243-1	GS ME	CWR		110
Lauterb.	408736-1	AF EU FU GS HF IF MA ME SU	CWR		110
Miscanthus fuscus (Roxb.) Benth.	408738-1	EU GS MA ME	CWR		110
Miscanthus junceus (Stapf) Pilg.	408745-1	GS	CWR		110
Miscanthus nepalensis (Trin.) Hack.	408756-1	EU	[3]		110
Miscanthus oligostachyus Stapf	408759-1	EU GS	CWR		110
ex Franch.	60466443-2	EU GS	CWR		110
Miscanthus sinensis Andersson	408768-1	EU GS MA ME	CWR		110
Miscanthus tinctorius (Steud.) Hack.	408773-1	GS	CWR		110
Miscanthus violaceus (K.Schum.) Pilg.	408775-1	GS	CWR		110
Mnesithea laevis (Retz.) Kunth	408784-1	AF ME	[4, 7]		110
Mnesithea mollicoma (Hance) A.Camus	408787-1	AF	[7]		110
Molinia caerulea (L.) Moench	98382-3	EU MA	[1, 3]		110
Monachather paradoxus Steud.	408838-1	AF	[3]		110
Monelytrum luederitzianum Hack.	408856-1	AF EU	[9]		110
Monocymbium ceresiiforme (Nees) Stapf	408875-1	AF EU MA ME SU	[4, 8, 11]		110
Moorochloa eruciformis (Sm.) Veldkamp	77065028-1	AF ME	[4]		110
Parodi	164706-2	EU	[3]		110
m.diazgranados@kew.org if you have any comment. Database developed by RBG Kew -1234567890-abcdefghijklmnopqrstuvwxyz///\\\***	408959-1	EU	[3]		111
Muhlenbergia dubia E.Fourn.	408994-1	ME	[4]		111
Muhlenbergia emersleyi Vasey	164759-2	EU	[3]		111
Muhlenbergia huegelii Trin.	409044-1	AF			111
Muhlenbergia lindheimeri Hitchc.	164816-2	EU	[3]		111
Muhlenbergia macroura (Kunth) Hitchc.	164822-2	MA ME	[1, 3, 4]		111
Muhlenbergia mexicana (L.) Trin.	409079-1	EU ME	[3, 4]		111
Muhlenbergia microsperma (DC.) Kunth	409081-1	HF	[9]		111
Muhlenbergia montana (Nutt.) Hitchc.	164835-2	AF	[3, 9]		111
Muhlenbergia multiflora Columbus	60454092-2	AF EU			111
Muhlenbergia pauciflora Buckley	409103-1	AF	[9]		111
Muhlenbergia porteri Scribn.	164855-2	AF MA	[1, 3]		111
Muhlenbergia pungens Thurb.	164860-2	AF MA	[9]		111
Poggenb.	164863-2	AF EU	[3]		111
Muhlenbergia richardsonis (Trin.) Rydb.	164872-2	ME	[4]		111
Muhlenbergia rigens (Benth.) Hitchc.	164873-2	EU	[3]		111
Muhlenbergia rigida (Kunth) Kunth	60445990-2	EU	[3]		111
Muhlenbergia sericea (Michx.) P.M.Peterson	1135074-2	EU MA	[1, 3]		111
Muhlenbergia torreyi (Kunth) Hitchc. ex Bush	164915-2	AF	[9]		111
Muhlenbergia tricholepis (Torr.) P.M.Peterson	77107600-1	AF			111
Muhlenbergia utilis (Torr.) Hitchc.	164921-2	AF MA	[9]		111
Muhlenbergia wrightii Vasey ex J.M.Coult.	164929-2	EU	[3]		111
Munroa pulchella (Kunth) Amarilla	77139483-1	ME	[4]		111
Myriostachya wightiana (Nees ex Steud.) Hook.f.	409265-1	AF EU	[7]		111
Nassella cernua (Stebbins & Love) Barkworth	1112588-2	EU	[3]		111
Nassella neesiana (Trin. & Rupr.) Barkworth	948410-1	PO	[3]		111
Nassella pulchra (Hitchc.) Barkworth	281176-2	AF EU	[3]		111
Nassella viridula (Trin.) Barkworth	281187-2	AF EU	[3, 9]		111
Neohouzeaua helferi (Munro) Gamble	941763-1	ME	[4]		111
Neololeba atra (Lindl.) Widjaja	998269-1	AF EU FU HF IF MA	[3, 5]		111
Neomicrocalamus andropogonifolius (Griff.) Stapleton	980469-1	MA	[1]		111
Neurachne munroi (F.Muell.) F.Muell.	409474-1	AF	[9]		111
Neyraudia arundinacea (L.) Henrard	409504-1	EU	[8]		111
Neyraudia reynaudiana (Kunth) Keng ex Hitchc.	409508-1	AF EU	[7]		111
Ocellochloa stolonifera (Poir.) Zuloaga & Morrone	77105897-1	MA			111
Ochlandra ebracteata Raizada & Chatterji	409666-1	AF MA	[3]		111
Ochlandra scriptoria (Dennst.) C.E.C.Fisch.	409670-1	ME	[4]		111
Ochlandra stridula Thwaites	409673-1	MA ME	[1, 3, 4]		111
Ochlandra travancorica (Bedd.) Gamble	409675-1	ME	[4]		111
Oldeania alpina (K.Schum.) Stapleton	77131105-1	AF EU FU GS HF MA			111
Olyra latifolia L.	316519-2	MA ME	[4, 8, 11]		111
Ophiuros exaltatus (L.) Kuntze	409769-1	AF MA PO	[5]		111
Oplismenus burmanni (Retz.) P.Beauv.	30453766-2	AF ME SU	[4, 7, 8, 11]		111
Oplismenus compositus (L.) P.Beauv.	409823-1	AF ME	[4, 7]		111
Oplismenus hirtellus (L.) P.Beauv.	1004002-1	AF EU MA	[5, 8]		111
Oplismenus undulatifolius (Ard.) P.Beauv.	941386-1	AF	[7]		111
Oreobambos buchwaldii K.Schum.	409946-1	MA	[8, 9]		111
Oropetium capense Stapf	409963-1	AF	[11]		111
Oropetium minimum (Hochst.) Pilg.	409969-1	AF	[9]		111
Oropetium thomaeum (L.f.) Trin.	409971-1	ME	[4]		111
Oryza australiensis Domin	410043-1	GS	CWR		111
Oryza barthii A.Chev.	410045-1	AF GS HF MA	CWR		111
Oryza brachyantha A.Chev. & Roehr.	410046-1	GS	CWR		111
Oryza coarctata Roxb.	327885-2	EU GS			111
Oryza eichingeri Peter	410056-1	AF GS	CWR		111
Oryza glaberrima Steud.	410061-1	AF GS HF ME	CWR		111
Oryza grandiglumis (Döll) Prodoehl	176926-2	GS	CWR		111
Oryza latifolia Desv.	316809-2	GS	CWR		111
m.diazgranados@kew.org if you have any comment. Database developed by RBG Kew -1234567890-abcdefghijklmnopqrstuvwxyz///\\\***	410074-1	GS HF SU	CWR		112
Oryza longistaminata A.Chev. & Roehr.	410075-1	AF GS HF MA	CWR		112
Oryza meyeriana (Zoll. & Moritzi) Baill.	410081-1	AF	CWR		112
Oryza minuta J.Presl	410083-1	AF GS HF SU	CWR		112
Oryza neocaledonica Morat	978469-1	GS	CWR		112
Oryza officinalis Wall. ex Watt	410091-1	GS ME	CWR		112
Oryza punctata Kotschy ex Steud.	410110-1	GS HF	CWR		112
Oryza ridleyi Hook.f.	410112-1	AF GS HF SU	CWR		112
Oryza rufipogon Griff.	410115-1	AF GS HF ME SU	CWR		112
Oryza sativa L.	316812-2	AF EU FU GS HF MA ME SU	CWR		112
Oryza schlechteri Pilg.	410118-1	GS HF SU	CWR		112
Oryzidium barnardii C.E.Hubb. & Schweick.	410132-1	AF MA	[9]		112
Oryzopsis asperifolia Michx.	325232-2	HF ME	[4, 9]		112
Otatea acuminata (Munro) C.E.Calderón ex Soderstr.	1081783-2	EU	[3]		112
Ottochloa nodosa (Kunth) Dandy	410269-1	AF	[3, 7, 8]		112
Oxytenanthera abyssinica (A.Rich.) Munro	410276-1	AF EU FU GS HF MA ME PO SU	[1, 3, 4,		112
Panicum acrotrichum Hook.f.	410385-1	AF HF MA ME	[4, 11]		112
Panicum amarum Elliott	181506-2	EU GS ME	[3, 4]		112
Panicum anabaptistum Steud.	77066910-1	AF EU FU MA	[8, 9, 11]		112
Panicum antidotale Retz.	410542-1	AF EU HF ME	[1, 3, 4, 8, 11]		112
Panicum aquaticum Poir.	410555-1	GS	CWR		112
Panicum atrosanguineum Hochst. ex A.Rich.	410621-1	AF	[9]		112
Panicum australiense Domin	410643-1	AF HF			112
Panicum bergii Arechav.	181571-2	GS	CWR		112
Panicum bisulcatum Thunb.	410738-1	EU ME	[3, 4]		112
Panicum brevifolium L.	410787-1	AF ME	[3, 4, 7, 8, 11]		112
Panicum bulbosum Kunth	410816-1	AF ME	[3, 4]		112
Panicum callosum Hochst. ex A.Rich.	410843-1	AF	[9]		112
Panicum calvum Stapf	410847-1	AF	[11]		112
Panicum capillare L.	181618-2	ME	[4]		112
Panicum caudiglume Hack.	410897-1	AF	[7]		112
Panicum cervicatum Chase	181655-2	GS	CWR		112
Panicum chloroleucum Griseb.	410928-1	GS	CWR		112
Panicum coloratum L.	410989-1	AF EU ME PO	[3, 4, 8, 11]		112
Panicum curviflorum Hornem.	411107-1	AF ME	[4]		112
Panicum decompositum R.Br.	411147-1	ME	[4]		112
Panicum deustum Thunb.	411174-1	ME	[4]		112
Panicum dichotomiflorum Michx.	325362-2	GS ME	CWR		112
Panicum fauriei Hitchc.	411368-1	GS	CWR		112
Panicum flexile (Gatt.) Scribn.	181888-2	ME	[4]		112
Panicum fluviicola Steud.	411430-1	AF FU GS HF MA	[8, 9, 11]		112
Panicum gilvum Launert	411512-1	ME	[4]		112
Panicum gouinii E.Fourn.	411567-1	GS	CWR		112
Panicum griffonii Franch.	411597-1	AF	[11]		112
Panicum hallii Vasey	411627-1	AF	[9]		112
Panicum havardii Vasey	181958-2	AF EU	[9]		112
Panicum hemitomon Schult.	411651-1	AF EU	[3]		112
Panicum hirticaule J.Presl	411695-1	HF	[3]		112
Panicum hirtum Lam.	411699-1	AF GS HF ME SU	[4, 8, 9, 10, 11]		112
Panicum hochstetteri Steud.	411709-1	AF	[11]		112
Panicum humile Steud.	411753-1	AF HF	[8, 11]		112
Panicum impeditum Launert	411783-1	AF EU	[9]		112
Panicum infestum Andersson	411808-1	AF HF MA	[9]		112
Panicum kalaharense Mez	411884-1	AF EU GS HF MA	[8, 9]		112
Panicum laetum Kunth	411931-1	AF GS HF PO	[8, 9, 11]		112
Panicum laevinode Lindl.	411939-1	ME	[4]		112
Panicum lanipes Mez	411957-1	AF	[3, 9]		112
Panicum laxiflorum Lam.	182080-2	ME	[4]		112
Panicum luzonense J.Presl	412090-1	AF	[7]		112
Panicum miliaceum L.	412217-1	AF GS HF MA ME	CWR		112
Panicum mystasipum Zuloaga & Morrone	301226-2	GS	CWR		112
Panicum nephelophilum Gaudich.	412358-1	GS	CWR		112
Panicum notatum Retz.	412396-1	AF HF	[7]		112
m.diazgranados@kew.org if you have any comment. Database developed by RBG Kew -1234567890-abcdefghijklmnopqrstuvwxyz///\\\***	182256-2	ME	[4]		113
Panicum olyroides Kunth	412456-1	GS	CWR		113
Panicum paludosum Roxb.	412521-1	AF	[7]		113
Panicum pansum Rendle	412536-1	AF GS HF	[8, 11]		113
Panicum pedersenii Zuloaga	182305-2	GS	CWR		113
Panicum philadelphicum Bernh. ex Nees	30203667-2	ME	[4]		113
Panicum phragmitoides Stapf	60439133-2	AF EU FU MA	[8, 9, 11]		113
Panicum pinifolium Chiov.	412673-1	AF EU	[9]		113
Panicum porphyrrhizos Steud.	412740-1	AF MA	[8, 11]		113
Panicum purpureum Ruiz & Pav.	412841-1	AF MA	[5]		113
Panicum queenslandicum Domin	412854-1	ME	[4]		113
Panicum racemosum (P.Beauv.) Spreng.	412860-1	AF EU GS	CWR		113
Panicum repens L.	412908-1	AF EU FU GS MA ME	CWR		113
Panicum rudgei Roem. & Schult.	412983-1	GS	CWR		113
Panicum sarmentosum Roxb.	413023-1	AF ME SU	[4, 5, 7]		113
Panicum schinzii Hack.	413051-1	AF	[3]		113
Panicum sphaerocarpon Elliott	182530-2	ME	[4]		113
Panicum stapfianum Fourc.	413198-1	AF EU	[9]		113
Panicum stramineum Hitchc. & Chase	182558-2	GS	CWR		113
Panicum strigosum Muhl. ex Elliott	182564-2	ME	[4]		113
Panicum subalbidum Kunth	413240-1	AF GS HF MA	[3, 8, 9, 11]		113
Panicum sumatrense Roth	413287-1	AF HF	[3]		113
Panicum trichanthum Nees	413376-1	ME	[4]		113
Panicum trichocladum K.Schum.	413379-1	AF MA	[9]		113
Panicum trichoides Sw.	324582-2	AF	[7]		113
Panicum tricholaenoides Steud.	413385-1	GS ME	CWR		113
Panicum trichonode Launert & Renvoize	413386-1	AF MA	[9]		113
Panicum turgidum Forssk.	413428-1	AF EU FU GS HF MA ME SU	[3, 4, 8, 9,		113
Panicum urvilleanum Kunth	413466-1	EU	[9]		113
Panicum virgatum L.	413537-1	AF EU FU GS HF ME	CWR		113
Pappophorum pappiferum (Lam.) Kuntze	182865-2	ME	[4, 12]		113
Pappostipa ibarii (Phil.) Romasch.	77099531-1	AF			113
Paratheria glaberrima C.E.Hubb.	413706-1	EU	[11]		113
Paspalum arenarium Schrad.	413847-1	EU	[9]		113
Paspalum conjugatum P.J.Bergius	30011315-2	AF EU HF MA ME SU	[3, 4, 5, 7, 8, 11,		113
Paspalum convexum Flüggé	414002-1	AF ME	[4, 9]		113
Paspalum corcovadense Raddi	414003-1	EU	[9]		113
Paspalum denticulatum Trin.	414056-1	EU	[3]		113
Paspalum dilatatum Poir.	414070-1	AF EU ME PO	[3, 4, 7, 8, 11]		113
Paspalum distichum L.	184275-2	AF EU GS HF ME PO	[3, 4, 5, 8]		113
Paspalum fimbriatum Kunth	414155-1	EU	[9]		113
Paspalum foliiforme S.Denham	60440769-2	ME	[4]		113
Paspalum gardnerianum Nees	414188-1	EU	[9]		113
Paspalum intermedium Munro ex Morong	184394-2	MA	[9]		113
Paspalum lamprocaryon K.Schum.	414321-1	AF	[11]		113
Paspalum lepton Schult.	414352-1	AF EU			113
Paspalum loefgrenii Ekman	184443-2	EU	[9]		113
Paspalum maritimum Trin.	414411-1	AF EU	[9]		113
Paspalum millegranum Schrad. ex Schult.	414431-1	AF MA			113
Paspalum notatum Flüggé	414477-1	AF EU ME	[3, 4, 8, 11]		113
Paspalum paniculatum L.	184526-2	EU ME	[4, 11]		113
Paspalum plicatulum Michx.	184571-2	AF	[3, 8]		113
Paspalum quadrifarium Lam.	414631-1	ME	[4, 12]		113
Paspalum racemosum Lam.	414634-1	EU	[3]		113
Paspalum repens P.J.Bergius	30475806-2	AF	[3]		113
Paspalum scrobiculatum L.	414702-1	AF EU GS HF MA ME PO SU	[1, 3, 4, 5, 7,		113
Paspalum scutatum Nees ex Trin.	414703-1	AF EU	[9]		113
Paspalum serpentinum Hochst. ex Steud.	414714-1	ME	[4, 12]		113
Paspalum urvillei Steud.	414828-1	AF ME	[3, 4, 11]		113
Paspalum vaginatum Sw.	184742-2	AF EU ME	[1, 3, 4, 5, 7, 11]		113
Paspalum virgatum L.	414854-1	EU MA	[1, 11]		113
Pentameris airoides (Nees) Steud.	415303-1	ME	[4]		113
m.diazgranados@kew.org if you have any comment. Database developed by RBG Kew -1234567890-abcdefghijklmnopqrstuvwxyz///\\\***	167554-3	AF	[7]		114
Perotis patens Gand.	415507-1	AF EU ME	[4, 8, 11]		114
Perotis rara R.Br.	415513-1	AF	[9]		114
Phacelurus gabonensis (Steud.) Clayton	909548-1	AF EU MA ME SU	[4, 8, 11]		114
Phalaris angusta Nees ex Trin.	311946-2	ME	[4]		114
Phalaris aquatica L.	415560-1	AF ME PO	[3, 4]		114
Phalaris arundinacea L.	415571-1	AF EU HF MA ME PO	[3, 4, 7, 8]		114
Phalaris canariensis L.	415588-1	AF HF MA ME	[1, 3, 4, 10]		114
Phalaris caroliniana Walter	415591-1	ME	[4]		114
Phalaris coerulescens Desf.	415596-1	AF	[3]		114
Phalaris minor Retz.	415632-1	AF GS HF ME PO	[3, 4, 8, 11]		114
Phalaris truncata Guss. ex Bertol.	415677-1	AF	[9]		114
Phleum alpinum L.	415775-1	AF	[3]		114
Phleum phleoides (L.) H.Karst.	415866-1	AF	[3]		114
Phleum pratense L.	415868-1	AF EU ME PO	[1, 3, 4]		114
Pholiurus pannonicus (Host) Trin.	415904-1	AF	[3]		114
Phragmites australis (Cav.) Trin. ex Steud.	30337627-2	AF EU FU GS HF MA ME PO	[1, 3, 4, 5,		114
Phragmites karka (Retz.) Trin. ex Steud.	415942-1	AF EU FU HF MA ME	[1, 4, 5, 7, 8, 11]		114
Phragmites mauritianus Kunth	415950-1	AF EU GS HF MA ME	[4, 8, 9]		114
Phyllostachys angusta McClure	415979-1	EU MA	[3]		114
Phyllostachys aurea (André) Rivière & C.Rivière	415983-1	EU GS HF MA	[1, 3, 7, 8]		114
Phyllostachys aureosulcata McClure	415984-1	EU MA	[3]		114
Phyllostachys bissetii McClure	415987-1	MA	[3]		114
Phyllostachys dulcis McClure	415996-1	EU HF	[3]		114
Phyllostachys edulis (Carrière) J.Houz.	415998-1	EU HF MA ME	[1, 3, 4]		114
Phyllostachys flexuosa Rivière & C.Rivière	416003-1	EU HF MA	[3]		114
Phyllostachys glauca McClure	416007-1	HF MA ME	[3, 4]		114
Phyllostachys heteroclada Oliv.	416010-1	MA	[3]		114
Phyllostachys incarnata T.H.Wen	900563-1	HF	[3]		114
Phyllostachys iridescens C.Y.Yao & S.Y.Chen	416012-1	EU HF MA	[3]		114
J.K.Liu	416014-1	MA	[3]		114
Phyllostachys makinoi Hayata	416017-1	MA	[3]		114
Phyllostachys mannii Gamble	416018-1	EU	[3]		114
Phyllostachys meyeri McClure	416023-1	MA	[3]		114
Phyllostachys nidularia Munro	416029-1	EU HF MA	[3]		114
Phyllostachys nigra (Lodd. ex Lindl.) Munro	416031-1	EU MA ME	[1, 3, 4, 7]		114
Phyllostachys nuda McClure	416033-1	HF MA ME	[3, 4]		114
Phyllostachys parvifolia C.D.Chu & H.Y.Chou	416034-1	HF MA	[3]		114
Phyllostachys platyglossa C.P.Wang & Z.H.Yu	416036-1	HF MA	[3]		114
Phyllostachys prominens W.Y.Hsiung	416038-1	HF MA	[3]		114
Phyllostachys propinqua McClure	416039-1	HF MA	[3]		114
Phyllostachys reticulata (Rupr.) K.Koch	416046-1	EU HF MA ME	[4]		114
Phyllostachys rubromarginata McClure	416050-1	MA	[3]		114
Phyllostachys sulphurea (Carrière) Rivière & C.Rivière	416056-1	EU MA	[1, 3]		114
Phyllostachys violascens Rivière & C.Rivière	416058-1	EU HF MA	[3]		114
C.Rivière	416059-1	EU MA	[3]		114
Phyllostachys vivax McClure	416061-1	EU HF	[3]		114
Phyllostachys yunhoensis S.Y.Chen & C.Y.Yao	416062-1	HF	[3]		114
Piptatherum coerulescens (Desf.) P.Beauv.	416076-1	AF	[9]		114
Piptatherum holciforme (M.Bieb.) Roem. & Schult.	416090-1	AF	[3, 9]		114
Piptatherum molinioides Boiss.	416107-1	AF	[9]		114
Piptochaetium avenaceum (L.) Parodi	199789-2	MA	[1]		114
Piptochaetium fimbriatum (Kunth) Hitchc.	199804-2	AF	[9]		114
Piresia leptophylla Soderstr.	199907-2	ME	[4]		114
Pleioblastus amarus (Keng) Keng f.	416254-1	ME	[4]		114
Pleioblastus argenteostriatus (Regel) Nakai	416256-1	EU	[3]		114
Pleioblastus distichus (Mitford) Nakai	416263-1	EU			114
Pleioblastus fortunei (Van Houtte) Nakai	416271-1	EU	[3]		114
Pleioblastus simonii (Carrière) Nakai	416349-1	EU MA	[3]		114
Pleioblastus viridistriatus (Regel) Makino	416362-1	EU	[3]		114
Poa alpina L.	320036-2	AF EU	[3]		115
Poa annua L.	320035-2	AF EU ME	[3, 4, 7, 8]		115
Poa arachnifera Torr.	30352829-2	AF EU	[3]		115
Poa arida Vasey	204108-2	EU	[3]		115
Poa attenuata Trin.	416557-1	ME	[4]		115
Poa bergii Hieron.	416590-1	EU	[9]		115
Poa bigelovii Vasey ex Scribn.	204117-2	AF	[9]		115
Poa bulbosa L.	320038-2	AF EU	[3]		115
Poa colensoi Hook.f.	416776-1	EU	[3]		115
Poa compressa L.	204172-2	AF EU	[3]		115
Poa confinis Vasey	204178-2	EU	[3]		115
Poa fendleriana (Steud.) Vasey	204214-2	AF ME	[3, 4]		115
Poa flabellata (Lam.) Raspail	417047-1	MA	[1]		115
Poa glauca Vahl	204239-2	EU	[3]		115
Poa keysseri Pilg.	417308-1	MA	[5]		115
Poa labillardierei Steud.	417332-1	AF	[9]		115
Poa lanuginosa Poir.	417358-1	AF EU	[9]		115
Poa leptoclada Hochst. ex A.Rich.	417387-1	AF	[8]		115
Poa nemoralis L.	320039-2	EU ME	[3, 4]		115
Poa palustris L.	204398-2	AF EU ME	[1, 3, 4]		115
Poa pratensis L.	417792-1	AF EU ME	[3, 4]		115
Poa sinaica Steud.	418053-1	AF EU	[9]		115
Poa supina Schrad.	418156-1	EU	[3]		115
Poa trivialis L.	320346-2	AF EU	[3]		115
Poa wheeleri Vasey	418362-1	EU	[3]		115
Pogonarthria squarrosa (Licht.) Pilg.	1080583-2	AF HF MA ME	[4, 8, 11]		115
Pogonatherum crinitum (Thunb.) Kunth	418488-1	AF EU ME	[4, 7]		115
Pogonatherum paniceum (Lam.) Hack.	418497-1	ME	[4]		115
Polypogon monspeliensis (L.) Desf.	1048074-2	AF EU HF ME	[4, 7, 8, 11]		115
Polytoca digitata (L.f.) Druce	418751-1	AF			115
Polytoca gigantea (J.Koenig) Mabb.	77164255-1	HF ME	[4, 5]		115
Polytoca macrophylla Benth.	418756-1	AF EU ME	[4, 7]		115
Polytoca punctata (R.Br.) Hook.f.	418758-1	AF			115
Polytrias indica (Houtt.) Veldkamp	963150-1	AF EU	[3, 9, 11]		115
Potamophila parviflora R.Br.	418778-1	GS	[3]		115
Psammochloa villosa (Trin.) Bor	418799-1	AF EU MA	[9]		115
Psathyrostachys fragilis (Boiss.) Nevski	418803-1	AF EU	[9]		115
Psathyrostachys juncea (Fisch.) Nevski	418806-1	AF GS	[3]		115
Pseudechinolaena polystachya (Kunth) Stapf	211125-2	AF EU ME SU	[4, 11]		115
Pseudopogonatherum contortum (Brongn.) A.Camus	113497-3	AF ME	[4, 7]		115
Pseudopogonatherum quadrinerve (Hack.) Ohwi	77176860-1	AF			115
Pseudopogonatherum trispicatum (Schult.) Ohwi	77177347-1	AF			115
Pseudoraphis spinescens (R.Br.) Vickery	418870-1	AF EU ME	[4, 5, 7]		115
Pseudoroegneria spicata (Pursh) Á.Löve	1159330-2	AF EU ME	[4]		115
Pseudoroegneria tauri (Boiss. & Balansa) Á.Löve	914501-1	AF EU			115
Pseudosasa amabilis (McClure) Keng f.	418878-1	EU MA	[1, 3]		115
Makino ex Nakai	418885-1	EU MA	[1, 3]		115
Pseudosorghum zollingeri (Steud.) A.Camus	418905-1	AF	[7]		115
Pseudostachyum polymorphum Munro	418909-1	ME	[4]		115
Puccinellia ciliata Bor	418999-1	EU	[3]		115
Puccinellia distans (Jacq.) Parl.	1026660-2	AF EU	[3, 9]		115
